<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEXTN;60;210226;110000;1329.5000000;1339.1300000;1329.0900000;1338.2100000;102245223
MOEXTN;60;210226;120000;1338.1400000;1339.7000000;1335.9600000;1339.0300000;116666087
MOEXTN;60;210226;130000;1338.3700000;1339.4300000;1334.2100000;1336.6300000;85591060
MOEXTN;60;210226;140000;1336.4000000;1336.6000000;1332.5800000;1333.4900000;46958091
MOEXTN;60;210226;150000;1333.7900000;1340.4500000;1333.4800000;1338.1600000;157616901
MOEXTN;60;210226;160000;1338.3400000;1340.3500000;1337.3800000;1338.1600000;76950643
MOEXTN;60;210226;170000;1337.8400000;1339.0000000;1335.0000000;1335.7600000;74422259
MOEXTN;60;210226;180000;1335.8200000;1336.4400000;1330.8400000;1334.2300000;100793159
MOEXTN;60;210301;100000;1341.8400000;1347.4500000;1341.0400000;1345.3700000;170315158
MOEXTN;60;210301;110000;1345.3700000;1345.7600000;1343.2100000;1344.8800000;63234910
MOEXTN;60;210301;120000;1345.2800000;1346.3800000;1343.1400000;1345.9200000;99945023
MOEXTN;60;210301;130000;1346.2100000;1348.1900000;1345.4500000;1347.7700000;111232416
MOEXTN;60;210301;140000;1347.8200000;1348.3800000;1346.1900000;1347.1400000;60640148
MOEXTN;60;210301;150000;1346.9900000;1349.2700000;1346.2200000;1349.2700000;64127155
MOEXTN;60;210301;160000;1349.3000000;1350.1800000;1345.8600000;1349.4800000;164004926
MOEXTN;60;210301;170000;1349.2900000;1352.4100000;1347.3400000;1347.8500000;131234406
MOEXTN;60;210301;180000;1347.8100000;1350.8600000;1347.4300000;1349.8600000;104111487
MOEXTN;60;210302;100000;1348.5600000;1358.4000000;1347.9500000;1358.3300000;345135009
MOEXTN;60;210302;110000;1358.2500000;1361.5800000;1356.4600000;1357.8200000;346864959
MOEXTN;60;210302;120000;1357.8200000;1362.7900000;1357.6500000;1361.6100000;122850703
MOEXTN;60;210302;130000;1361.9800000;1362.9000000;1359.7600000;1360.0900000;162209221
MOEXTN;60;210302;140000;1360.2400000;1361.5600000;1357.4600000;1360.0000000;186658423
MOEXTN;60;210302;150000;1360.2600000;1361.1900000;1358.1500000;1358.4800000;96682613
MOEXTN;60;210302;160000;1358.4200000;1359.5800000;1356.4900000;1359.3400000;131278780
MOEXTN;60;210302;170000;1358.7500000;1359.5000000;1356.3500000;1357.6800000;193139584
MOEXTN;60;210302;180000;1357.6600000;1360.8400000;1357.6600000;1359.8400000;112830968
MOEXTN;60;210303;100000;1363.8800000;1363.8800000;1355.5400000;1358.6100000;207384748
MOEXTN;60;210303;110000;1358.9300000;1358.9300000;1354.2800000;1355.6300000;137716751
MOEXTN;60;210303;120000;1355.6300000;1359.8100000;1354.9800000;1359.0800000;147216615
